Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
ESCUELAS SAN JOSÉ (I. POLIT.),AV DE LES CORTS VALENCIANES 1,VALENCIA,46015,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
PAX,CL ESPINOSA 5,VALENCIA,46008,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
MISERICÒRDIA,CL CASA DE LA MISERICÒRDIA 34,VALENCIA,46014,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
CENTRO ESTUDIOS RODRIGO-GIORGETA,CL MARQUÉS DEL CAMPO 7,VALENCIA,46007,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
VERGE DE CORTES. VALÈNCIA,CL URUGUAY 37,VALENCIA,46007,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
SAN LUIS,Licenciado Poza 31,BILBAO,48011,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
SANTA MARIA DE ARTAGAN,Zabalbide 110,BILBAO,48006,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
CRUZ ROJA,Jose María Olavarri 2,BILBAO,48001,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
CALASANZ LANBIDE IKASTEGIA,Cuesta del Hospital Bajo 11,SANTURTZI,48980,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
TARTANGA,Tartanga Kalea 15,ALTZAGA,48950,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
TXURDINAGA,Artalandio 3,BILBAO,48004,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
GRUPO ALBOR-COHS,Tiboli 2,BILBAO,48007,BIZKAIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
REYES CATÓLICOS,CL. MARIANO ALASTUEY, 26,EJEA DE LOS CABALLEROS,50600,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
MARÍA MOLINER,CL. SAN VICENTE FERRER, 6,ZARAGOZA,50011,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
OCÉANO ATLÁNTICO,CL. FRANCISCO OLIVÁN BAYLE, 4,ZARAGOZA,50015,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
JUAN ANTONIO FERNÁNDEZ PÉREZ,C/ ESCULTOR MUSTAFÁ ARRUF, 6  (HUERTA SALAMA),MELILLA,52005,MELILLA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Integración Social
VICTORIA KENT,CL JOAN FUSTER 4,ELCHE/ELX,03203,ALICANTE/ALACANT,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CENTRO POLIVALENTE SOCIAL Y EDUCATIVO,CL SAN LORENZO 19,ALICANTE/ALACANT,03007,ALICANTE/ALACANT,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Alhadra,de los Colegios, 7,ALMERIA,04009,ALMERÍA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Ceir - Arco Villarroel,c. Villarroel, 5 i 7,BARCELONA,08011,BARCELONA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Consell de Cent,c. Carrera, 25,BARCELONA,08004,BARCELONA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Sigler,Real, 116,SAN FERNANDO,11100,CÁDIZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Levante,Acebuchal Bajo, s/n,ALGECIRAS,11205,CÁDIZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Drago,Marianista Cubillo, 15,CADIZ,11008,CÁDIZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Averroes,Motril, s/n,CORDOBA,14013,CÓRDOBA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Ramón y Cajal,Libertador Joaquín José da Silva Xavier, 1,CORDOBA,14013,CÓRDOBA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Manuel Segura Morales,de los Carpinteros, 31, Polígono Fuente Palma,BENAMEJI,14910,CÓRDOBA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Ánxel Casal - Monte Alto,PO/Marítimo 47,CORUÑA (A),15002,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Comunidad Sorda Andaluza,Maracena, s/n,ATARFE,18230,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Centro de Formación F.A.A.S.,Arzobispo Pedro de Castro, s/n. Edificio Columba 1,GRANADA,18013,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Abenamar,Andrés Segovia, 127,CHURRIANA DE LA VEGA,18194,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Alhambra,Beethoven, 2,GRANADA,18006,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Centro de Formación Profesional La Inmaculada,Joaquina Eguaras, 114,GRANADA,18013,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
La Orden,de la Cinta, s/n,HUELVA,21005,HUELVA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Santa Catalina de Alejandría,Ruiz Jiménez, 16,JAEN,23008,JAÉN,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Ronda,c. Henri Dunant, 3,LLEIDA,25003,LLEIDA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
ALONSO DE AVELLANEDA,CALLE Vitoria 3,ALCALA DE HENARES,28804,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
PIO BAROJA,CALLE de Tolosa 2,MADRID,28041,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
C.RECURSOS COM.SORDA JUAN LUIS MARROQUIN,CALLE de las Islas Aleutianas 28,MADRID,28035,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CENTRO EDUCATIVO PONCE DE LEON,CALLE de Eduardo Barreiros 6,MADRID,28041,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CESUR-MADRID II,CALLE de Albarracín 27,MADRID,28037,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CAMPUS FP MADRID VENTAS,CALLE del Marqués de Mondéjar 29,MADRID,28028,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CAMPUS FP FUNDACION APROCOR LAS TABLAS,CALLE de Fromista 7,MADRID,28050,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Cesur-PTA,Severo Ochoa, 29,CAMPANILLAS,29590,MÁLAGA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
La Reina,Lotos, 1-3,MALAGA,29013,MÁLAGA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Núm. 1. Universidad Laboral,Julio Verne, 6. Aptdo. de correos 9170,MALAGA,29080,MÁLAGA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CENTRO DE ESTUDIOS PROFESIONALES MOLINA,C/ DR. FLEMING, 54,MOLINA DE SEGURA,30500,MURCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
ESCUELA DE TURISMO DE MURCIA,PASEO DEL MALECÓN, 5,MURCIA,30004,MURCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
"C.E.E. ""Fundación Padre Vinjoy""",Avda. de los Monumentos, 61-C,OVIEDO,33012,ASTURIAS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
FELO MONZÓN GRAU BASSAS,CTRA. LOMO BLANCO, 48,TAFIRA,35015,LAS PALMAS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
LA LABORAL DE LA LAGUNA,AVDA. M. LORA TAMAYO, 2,SAN CRISTOBAL DE LA LAGUNA,38205,SANTA CRUZ DE TENERIFE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
SANTA CLARA,SANTA CLARA 13,SANTANDER,39001,CANTABRIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Murillo,José Recuerda Rubio, s/n,SEVILLA,41018,SEVILLA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
Polígono Sur,Esclava del Señor, 2,SEVILLA,41013,SEVILLA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
El Majuelo,Enrique Granados, 43,GINES,41960,SEVILLA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
CEU-Aljarafe,Ángel Herrera Oria, s/n. Campus Universitario,BORMUJOS,41930,SEVILLA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
SANTA EMERENCIANA,CL. JUEZ VILLANUEVA, 1,TERUEL,44002,TERUEL,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
MARÍA PACHECO,AV. DE BARBER, 4,TOLEDO,45004,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
MISERICÒRDIA,CL CASA DE LA MISERICÒRDIA 34,VALENCIA,46014,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
MARÍA MOLINER,CL. SAN VICENTE FERRER, 6,ZARAGOZA,50011,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Mediación Comunicativa
LOS LLANOS,CL. DIEGO VELAZQUEZ, 12,ALBACETE,02002,ALBACETE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
GABRIEL MIRÓ,CL CATEDRÁTICO JOSÉ GUILLÉN 1,ORIHUELA,03300,ALICANTE/ALACANT,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
VICTORIA KENT,CL JOAN FUSTER 4,ELCHE/ELX,03203,ALICANTE/ALACANT,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
VALLE DE ELDA,CR DE SAX 37,ELDA,03600,ALICANTE/ALACANT,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Alhadra,de los Colegios, 7,ALMERIA,04009,ALMERÍA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
BARBARA DE BRAGANZA,CIUDAD DE EVORA,S/N,BADAJOZ,06003,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Joan Maragall,c. Guifré, 300,BADALONA,08918,BARCELONA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Can Vilumara,av. de Josep Tarradellas i Joan, 153,HOSPITALET DE LLOBREGAT (L'),08901,BARCELONA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
AL-QAZERES,CERVANTES,S/N,CACERES,10005,CÁCERES,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
CENTRO DE FORMACIÓN DULCINEA,AV. 8 DE MARZO, S/N,PUERTOLLANO,13500,CIUDAD REAL,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Galileo Galilei,Francisco Pizarro, 16,CORDOBA,14010,CÓRDOBA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
FOREM-A,Santa Eufemia, esq C/ Pedroche, s/n,CORDOBA,14006,CÓRDOBA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Manuel Segura Morales,de los Carpinteros, 31, Polígono Fuente Palma,BENAMEJI,14910,CÓRDOBA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Tomás Barros,RU/Ramón María Aller 10 B,CORUÑA (A),15010,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Chíos Formación,AV/ do Exército 2,CORUÑA (A),00000,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Comunidad Sorda Andaluza,Maracena, s/n,ATARFE,18230,GRANADA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
La Orden,de la Cinta, s/n,HUELVA,21005,HUELVA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
BARRIO DE BILBAO,CALLE de Villaescusa 19,MADRID,28017,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Ben Gabirol,Agustín Martín Carrión, 6,MALAGA,29006,MÁLAGA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
"I.E.S. ""Número 1""",Puerto de Vegarada, s/n,GIJON,33207,ASTURIAS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Centro Integrado de F.P. de Cerdeño,Polígono del Espíritu Santo, s/n,OVIEDO,33010,ASTURIAS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
LILA,C/ RAFAEL TRAVIESO, 28,VALLE DE JINAMAR,35220,LAS PALMAS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
A Xunqueira,RU/Rafael Areses s/n,PONTEVEDRA,36155,PONTEVEDRA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
LA OROTAVA-MANUEL GONZÁLEZ PÉREZ,C/ SOR LUISA LAMAS RIOS, S/Nº,OROTAVA (LA),38313,SANTA CRUZ DE TENERIFE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
LOS GLADIOLOS,C/ LOS HUARACHEROS, Nº 5,SANTA CRUZ DE TENERIFE,38007,SANTA CRUZ DE TENERIFE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
Gaudí,ctra. d'Osca, 1 (Barri Gaudí),REUS,43206,TARRAGONA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
TERESA ENRÍQUEZ,CL. PUENTE, S/N,TORRIJOS,45500,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
GUTIERRE DE CÁRDENAS,CL. NOBLEJAS, 8,OCAÑA,45300,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
BERENGUER DALMAU,AV BLASCO IBÁÑEZ S/N,CATARROJA,46470,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
POU CLAR,CL VICENTE GIRONES MORA S/N,ONTINYENT,46870,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
JORDI DE SANT JORDI,CL ALCALDE GISBERT RICO 24,VALENCIA,46013,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
MISERICÒRDIA,CL CASA DE LA MISERICÒRDIA 34,VALENCIA,46014,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
ENRIQUE TIERNO GALVÁN,CR DE BENIFARAIG S/N,MONCADA,46113,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
LYCEUM,C/ PLOMO, Nº 3,VALLADOLID,47012,VALLADOLID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
AVEMPACE,CL. ISLAS CANARIAS, 5,ZARAGOZA,50015,ZARAGOZA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
ABYLA,POLIG.AV.DE AFRICA S/N,CEUTA,51002,CEUTA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Diurno,Promoción de Igualdad de Género
FRANCISCO GINER DE LOS RIOS,CTRA de Barajas 1,2,ALCOBENDAS,28108,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Animación Sociocultural y Turística
VIRGEN DE LA PAZ,CALLE de Francisco Chico Mendes 4,ALCOBENDAS,28108,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Animación Sociocultural y Turística
ALONSO DE AVELLANEDA,CALLE Vitoria 3,ALCALA DE HENARES,28804,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
SAN BLAS,CALLE de Arcos de Jalón 120,MADRID,28037,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
MARIA DE ZAYAS Y SOTOMAYOR,CALLE del Romero 2,MAJADAHONDA,28221,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
VILLABLANCA,CALLE de Villablanca 79,MADRID,28032,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
CENTRO DE ESTUDIOS TECNOLOGICOS Y SOCIALES FRANCISCO DE VITORIA,CTRA Pozuelo Majadahonda K1,8,POZUELO DE ALARCON,28223,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
GSD  LAS SUERTES,CALLE de Rafael de León 10,MADRID,28051,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
GSD LAS ROZAS,CALLE Clara Campoamor 1,ROZAS DE MADRID (LAS),28232,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
EDITH STEIN,CALLE Simca 20,MADRID,28041,MADRID,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
TAFALLA,AVDA. DE TUDELA, 30,TAFALLA,31300,NAVARRA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Dual,Educación Infantil (Formación Profesional)
ESCUELA DE EDUCADORES-HEZITZAILE ESKOLA,CALLE MAYOR (PALACIO EZPELETA), 65,PAMPLONA/IRUÑA,31001,NAVARRA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),En línea,Educación Infantil (Formación Profesional)
ITET,JULIAN CEBALLOS, 14,TORRELAVEGA,39300,CANTABRIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),En línea,Educación Infantil (Formación Profesional)
MARÍA TELO,SAN FERNANDO, 49,CORRALES (LOS),39400,CANTABRIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),En línea,Promoción de Igualdad de Género
FRANCISCO DE QUEVEDO,AV. LOS ESTUDIANTES, S/N,VALDEPEÑAS,13300,CIUDAD REAL,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Animación Sociocultural y Turística
CARDENAL CISNEROS,CL. DONANTE DE SANGRE, 1,GUADALAJARA,19002,GUADALAJARA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Animación Sociocultural y Turística
EL GRECO,PS. DE SAN EUGENIO, 23,TOLEDO,45003,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Animación Sociocultural y Turística
PUERTA DE CUARTOS,PS. DEL CEMENTERIO, 7.,TALAVERA DE LA REINA,45600,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Animación Sociocultural y Turística
GUTIERRE DE CÁRDENAS,CL. NOBLEJAS, 8,OCAÑA,45300,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Animación Sociocultural y Turística
CES JUAN PABLO II,CL. REYES CATOLICOS, S/N,TOLEDO,45006,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Animación Sociocultural y Turística
AFIMEC BADAJOZ,ELADIO SALINERO DE LOS SANTOS,MERIDA,06003,BADAJOZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
LUIS VIVES,SANT JOAN DE LA SALLE, 5,PALMA,07003,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
QUARTÓ DE PORTMANY,CTRA. CAN GERMÀ, S/N,SANT ANTONI DE PORTMANY,07820,ILLES BALEARS,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
Compostela,99/Lamas de Abade s/n,SANTIAGO DE COMPOSTELA,15702,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
Ánxel Casal - Monte Alto,PO/Marítimo 47,CORUÑA (A),15002,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
SAN ISIDRO,CL. POETA MANUEL MARTINEZ, 2,AZUQUECA DE HENARES,19200,GUADALAJARA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
Politécnico de Lugo,RU/Armando Duran 3,LUGO,27002,LUGO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
Cesur-PTA,Severo Ochoa, 29,CAMPANILLAS,29590,MÁLAGA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
Cesur-CTM,Franz Listz, 1,CAMPANILLAS,29000,MÁLAGA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
Portovello,RU/Luís Trabazos (As Lagoas) 1,OURENSE,32004,OURENSE,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
A Xunqueira,RU/Rafael Areses s/n,PONTEVEDRA,36155,PONTEVEDRA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
de Chapela,CÑ/do Penisal 29,ANGOREN,36320,PONTEVEDRA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
VIRGEN DE LA CARIDAD,AV. DEL RECINTO FERIAL, S/N,ILLESCAS,45200,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
CASTILLO DE CONSUEGRA,CR. DE URDA, S/N,CONSUEGRA,45700,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
POLÍGONO,AV. BOLADIEZ, 50,TOLEDO,45007,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
EBORA FORMACIÓN,LG. PARCELA 1, SECTOR 7,CAZALEGAS,45683,TOLEDO,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
JORDI DE SANT JORDI,CL ALCALDE GISBERT RICO 24,VALENCIA,46013,VALENCIA/VALÈNCIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Educación Infantil (Formación Profesional)
La Janda,Zafra, s/n,VEJER DE LA FRONTERA,11150,CÁDIZ,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Integración Social
Ánxel Casal - Monte Alto,PO/Marítimo 47,CORUÑA (A),15002,A CORUÑA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Integración Social
HERNAN CORTES,HERNAN CORTES, 41,SANTANDER,39003,CANTABRIA,SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD (LOE),Nocturno,Integración Social
